call_id,dateCreated,serviceCallSubject,jobStatus,callType,dueDate,managedBy,State,customerCode,customerName,salesEmployeeName,quotedAmount,totalInvoicedAmount,amountToBeInvoiced
4030,04/08/25,ID-4030 Haben Croydon Central - service call,Dispatched,Hardware,30/09/25,Michael Wyatt,VIC,SC3136-001,Croydon Central Shopping Centre,Kurt Schober,1080,0,1080
3895,28/05/25,ID-3895 P6765-25 Vicinity - Altona Gate Shopping Centre - Carpark Occupancy for new Basement Carpark via local display and Acumen?,Open,Solution,30/09/25,Michael Wyatt,VIC,SC3025-001,Altona Gate Shopping Centre,Kurt Schober,27519,13759.5,13759.5
4011,24/07/25,ID-4011 Vodafone Partner store VS0163 Northcote defit,Ready for A/P Inv,Solution,29/08/25,Michael Wyatt,NSW,HUTE8A,TPG Telecom Limited (formerly Vodafone Hutchinson Australia),Kurt Schober,878,878,0
4003,21/07/25,ID-4003 P6913-25a Haben - Forest Hill Chase - Traffic Counter Replacement at E1 L2 West (Aus Post) via Acumen?,Ready for A/P Inv,Solution,29/08/25,Michael Wyatt,VIC,SC3131-001,Forest Hill Chase Shopping Centre,Kurt Schober,5315,5315,0
3960,02/07/25,ID-3960 Vicinity Warwick Grove Shopping Centre - service call,Waiting PO,Hardware,29/08/25,Michael Wyatt,WA,SC6024-001,Warwick Grove Shopping Centre,Kurt Schober,900,0,900
3647,21/01/25,TS-ID-3647 Forestry Corporation NSW - 2525 Maintenance and Data traffic survey,Open,Traffic Survey,19/12/25,Michael Wyatt,NSW,SFNS2,Forestry Corporation Of NSW,Kurt Schober,76008,19002,57006
3938,18/06/25,ID-3938 Vodafone Partner L1157 Keysborough service call,Ready for A/P Inv,Hardware,29/08/25,Michael Wyatt,NSW,HUTE8A,TPG Telecom Limited (formerly Vodafone Hutchinson Australia),Kurt Schober,0,0,0
3948,23/06/25,ID-3948 Vicinity Armidale - equipment for traffic counters after wifi upgrade,Waiting PO,Hardware,29/08/25,Michael Wyatt,NSW,SC2350-001,Armidale Central,Kurt Schober,177,0,177
3659,28/01/25,TS-ID-3659 Pymble Ladies College - 2525 Data Collection and Maintenance,Open,Traffic Survey,31/10/25,Michael Wyatt,NSW,PLCO8,Pymble Ladies College,Kurt Schober,6704,4987,1717
3885,23/05/25,ID-3885 Vicinity Box Hill - service call,Dispatched,Hardware,29/08/25,Michael Wyatt,VIC,SC3128-002,Box Hill Central (South Precinct),Kurt Schober,1080,0,1080
3559,26/11/24,ID-3559_P6534-24 HMC Capital - HomeCo Victoria Point - Vehicle Counters via Acumen?,Ready for A/P Inv,Solution,28/02/25,Chris Stevens,QLD,SC4165-001,HomeCo. Victoria Point,Kurt Schober,23438,23438,0
3935,17/06/25,ID-3935 Vodafone D205 Preston - service call,Ready for A/P Inv,Hardware,31/07/25,Michael Wyatt,NSW,HUTE8A,TPG Telecom Limited (formerly Vodafone Hutchinson Australia),Kurt Schober,0,0,0
3879,21/05/25,RMA-ID-3879 Flexible Drive,Dispatched,RMA,31/07/25,Chris Stevens,VIC,FDAG6,Flexible Drive Pty Ltd,Karen Riddell,0,0,0
4023,30/07/25,ID-4023 ISPT ENEX100 - service call,Dispatched,Hardware,30/09/25,Michael Wyatt,WA,SC6000-001,Enex Perth,Kurt Schober,1355,0,1355
2834,20/12/23,ID-2834 P6071-23b Goldline - Chatswood Chase - TCS Foot Traffic Counters for Chatswood Chase via Acumen?,Dispatched,Solution,30/11/25,Chris Stevens,NSW,GOLIND,Goldline Industries Pty Ltd,Kurt Schober,148429,0,148429
2937,12/02/24,ID-2937 Sacl Service Call,Ready for A/P Inv,Hardware,29/08/25,Chris Stevens,NSW,SACO8,Sydney Airport Corporation Limited,Kurt Schober,1020,0,1020
3048,27/03/24,ID-3048 Vicinity The Galleries Service Call,Pending,Hardware,30/09/25,Chris Stevens,NSW,SC2000-002,The Galleries,Kurt Schober,700,0,700
4018,30/07/25,ID-4018 Bankstown Central - NAB Service Call,Open,Hardware,15/08/25,Chris Stevens,NSW,SC2200-001,Bankstown Central,Kurt Schober,1080,0,1080
3756,15/03/25,ID-3756_P6481-24 Sydney Airport Corporation Ltd - 4 New Foot Traffic Counters for T1 Pier B East Project,Ready for A/P Inv,Solution,29/08/25,Chris Stevens,NSW,SACO8,Sydney Airport Corporation Limited,Kurt Schober,20707,20707,0
3918,06/06/25,ID-3918_P6801-25 Charter Hall - Bribie Island Central - New Foot Traffic Counter at Service Corridor via Acumen?,Pending,Solution,29/08/25,Chris Stevens,QLD,SC4507-001,Bribie Island Central,Kurt Schober,5642,0,5642
3909,04/06/25,ID-3909 Optus Jun 25,Waiting PO,Contract,29/08/25,Chris Stevens,NSW,OPMO8,Optus Mobile Pty Ltd,Kurt Schober,10000,0,10000
3924,12/06/25,ID-3924 - RBG Service Call,Ready for A/R Inv,Hardware,31/07/25,Chris Stevens,NSW,RBGA2,The Royal Botanic Gardens and Domain Trust,Kurt Schober,1080,0,1080
3919,06/06/25,ID-3919_P6858-25 Cash Converters Mt Druitt - 1 x Sensor Foot Traffic Counter Upgrade via Acumen? – SUPPLY ONLY,Open,Solution,30/08/25,Chris Stevens,WA,CACOH,Cash Converters (Stores) Pty Ltd,Kurt Schober,1300,0,1300
