customerCode,customerName,customerNotes
FAHO8-PL2250,Plush West Gosford,
FAHO8-PL2609,Plush Fyshwick,
FAHO8-PL3214,Plush Geelong,
FAIVT,Faiverley Transport Aust Ltd,
FASE4,Fastair Serviices Pty ltd,
FCRC8,Fraser Coast Regional Council,
FCSL3,Alpine Resorts Victoria T/as Falls Creek Alpine Resort,
FDAG6,Flexible Drive Pty Ltd,35% Discount
FFSC8,Harrington Custodian Ltd Atf Fairfield Forum Unit Trust,
FHCH8,Glass Sub TC P/L As Trustee Glass Forest Hill Trust,
FIGG8,MAAM TT (Figtree) Pty Ltd ATF Figtree Holding Trust,
FLAU2,Floodlighting Australia,
FLME2,Fleet Maintenance Engineering,
FLTEK2,Fleettek Engineering Solutions Pty Ltd,
FLVS4,QIC Ltd ATF QIC Australia Core Plus Fund ABN 76849606305,
FOAS8,Forbes Arts Society,
FOFU6,Fortescue Future Industries Pty Ltd,
FOLD8,Friends of Little Dip,
FPSL8,Fidante Partners Services Ltd As Trustee For Surfers Paradise Trust,
FREFU8,Freedom Furniture Australia Pty Ltd,
FREFU8-2033,Freedom -  Moore Park,
FREFU8-2229,Freedom - Caringbah,
FSAU8,The Entertainment Quarter,
FSCO2,Forbes Shire Council,
FTK,Frontek Technology Corporation,
FUAU2,Fujitsu Australia Limited,Vendor id: 119500
FUGR6,Fugro Australia Pty Ltd,
FUGR6U,Fugro Australia Pty Ltd,
GAEL0,Gal Electronics,
GAGE4,Gap Geophysics Australia P/L,
GBAE2,GB Auto Group Pty Limited,
GBSER2,G&B Services (NSW) Pty Ltd,
GBSRMS,GBS Rail & Mining Services,
GCCO8,Goulburn Mulwaree Council,
GCCO8A,Griffith City Council,
GEGR8,Georgiou Group Pty Ltd,
GEME4,G-Spot Engineering Mechanical,
GENE4,Genelite Pty Ltd,15% discount
GENP2,Generator Power,
GEOC2,Geocounts NSW,
GEOI4,Nautics Group,
GEOR6,Georesults Pty Ltd,
GEPO2,Generator Power (Aust) Pty Ltd,
GHDPL,GHD Pty Ltd,
GISLE0,Gaudenz & Ursula Gisler,
GLCC8,Glenorchy City Council,
GLEN7,Glasgow Engineering,30% Discount
GLFI2,Global Fire,
GLOT3,Global One Technologies,
GLPA5,Glendon Park Pty Ltd,
GLRC8,GLADSTONE REGIONAL COUNCIL,
GLRN8,SCA Property Group  Glenorchy,
GLTP7,Truckzone Parts & Accessories,
GMMA4,Grumpy'S Marine Maintenance,
GMSO6,Groundbreaking Mining Solutions,
GOFE6,Generators And Off-Grid Energy Blue Haze Industrial Area,
GOLIND,Goldline Industries Pty Ltd,
GOLW2440,Goolawah Property,
GOPO8,Goongarline Properties Pty Ltd,
GORC8,Goondiwindi Regional Council,
GOSE2,Goldstar Services,
GOSE4,Governor Services Aust P/L (Atf E C S Unit Trust),
GPCAP3,GPC Asia Pacific Pty Ltd,45% Discount
GPCAP4,Gpc Asia Pacific Pty Ltd,45% Discount
GPEN0,Globe-Pac Engineering Sdn Bhd,
GPHI3,G. P. Hire,
GPRS6,GR Production Services Pty Ltd,
GRAH2,Grafton Hydraulics Pty Ltd,15% Discount
GRAL8,Alderson and Associates,
GRAU3,Grifols Australia Pty Ltd,
GREL6,Grant Elevators,
GREN4,Great Energy,
GROA3,SONIKAIR,
GRPR4,Ground Probe Pty Ltd,DO NOT USE THIS ACCOUNT
GRPR4U,GroundProbe Pty Ltd,
GSCA4,Gransolar Construction Australia Pty Ltd,
GSCC8,Greater Shepparton City Cncl,
GSCE2A,Glenrose Shopping Centre,
GSCO2A1,Gunnedah Shire Council,
GSEM4,G Spot Engineering & Mech,
GTCC8,Mid Coast Council,
GTCO8,Game Traffic & Contracting,
GTSV2,Gayner Technical Service Pl,
GTTP4,Gibbs Truck & Trailer Parts,
GVKI3,G.V.Kinsman,
GWEP4A,Gw Industrial,30% Discount
GWRE6,Goldfield Welder Repairs,
GWSE4,Generator & Welder Services,
GYCO8,Gympie Regional Council,One PO can have one Invoice only
HACER3,Hacer Australia Pty Ltd,
HACO8,Port Macquarie-Hastings CouncIL,
HALL4,Hall Plant Hire,
HAMC8,Hammondcare,
HANS0,Hansa Chippers,
HAPA4,Hawker Pacific,
HAPL8,Ccw Childrens Fund Pty Ltd Newpark Shopping Centre,
HAPU3,Hass Pumps,
HASC2,Harveys Service Centre,
HASS2,Horizon Access Spares & Serv,
HAWIAN,Hawaiian Pty Ltd,
HCCO2,Hawkesbury City Council,
HCCO8,Georges River Council,
HCCO8A,Hume City Council,
HCSP2,Heavy Component Specialists,
HDSA8,HDS Australia Pty Ltd,
HECCON,HECARD Consult Pty Ltd,
HECIIL,Healthy Cities Illawarra,
HEM1875,Hemanote Consultants Pty Ltd,
HEMO4,Henderson Motors,
HEMS0,Hems Power,
HFSA2,Hunter Fire & Safety,
HIAU2,Hills Auto Group,
HILL8,Hilltops Council,
HILSYD,Hilton Sydney,
HIPI2,Highland Pines,
HMCI6,Hampton Mining & Civil,
HMSE4,HMS Equip,
HMWS0,H M W S Inc,
HOEC4,Hodgson Electrical Contracting,
HOHE8,Homeworld Helensvale,
HOLCIM,Holcim (Australia) Pty Ltd,
HOQU2,Hodgson Quarries,
HOWSFE,see HOWSFEA,
HOWSFEA,HOWSAFE,
HRPA6,Harvest Road Pastoral,
HSCO2C,Hornsby Shire Council,
HSCO2D,Greater Hume Shire Council,
HSCO8,Hinchinbrook Shire Council,
HSCO8A,Hindmarsh Shire Council,
HSOL2,H.Solutions,
HTMT2,Hilltop Meats,
HUAS2,Hunter Automotive Solutions,
HUTE81-2228-001,Vodafone Miranda,
HUTE8A,TPG Telecom Limited (formerly Vodafone Hutchinson Australia),
HUTE8A-0810-001,Vodafone Casurina,
HUTE8A-0830-001,Vodafone Gateway,
HUTE8A-2000-001,Vodafone Sydney,
HUTE8A-2000-002,Vodafone Haymarket,
HUTE8A-2000-003,Vodafone QVB,
HUTE8A-2017-001,Vodafone Zetland,
HUTE8A-2026-001,Vodafone Bondi (Smart Phones Bondi IDC301),
HUTE8A-2032-001,Vodafone Kingsford,
HUTE8A-2035-001,Vodafone Maroubra,
HUTE8A-2035-002,Vodafone Eastgardens,
HUTE8A-2046-001,Vodafone Pitt St Mall,
HUTE8A-2060-001,Vodafone North Sydney,
HUTE8A-2067-001,Vodafone Chatswood,
HUTE8A-2088-001,Vodafone Mosman (Smartime Communications),
HUTE8A-2095-001,Vodafone Manly,
HUTE8A-2122-001,Vodafone Eastwood - Smart Phones,
HUTE8A-2134-001,Vodafone Burwood Plaza,
HUTE8A-2135-001,Vodafone Strathfield,
HUTE8A-2141-001,Vodafone Lidcombe,
HUTE8A-2148-001,Vodafone Blacktown,
HUTE8A-2150-001,Vodafone Parramatta,
HUTE8A-2153-001,Vodafone Winston Hills,
HUTE8A-2154,Vodafone Castle Hill,
HUTE8A-2160-001,Vodafone Merrylands,
HUTE8A-2166-001,Vodafone Cabramatta Railway Pde,
HUTE8A-2168-001,Vodafone Green Valley,
HUTE8A-2170-001,Vodafone Casula,
HUTE8A-2170-002,Vodafone Liverpool (Smart Phones Liverpool IDC313),
HUTE8A-2200-001,Vodafone Bankstown,
HUTE8A-2212-001,Vodafone Reevsby (Smart Phones Reevsby IDC013),
HUTE8A-2216-001,Vodafone Rockdale,
HUTE8A-2250-001,Vodafone Erina,
HUTE8A-2289-001,Vodafone Kotara,
HUTE8A-2290-001,Vodafone Charlestown,
HUTE8A-2323-001,Vodafone Green Hills,
HUTE8A-2560-001,Vodafone Macarthur,
HUTE8A-2617-001,Vodafone Belconnen,
HUTE8A-2620-001,Vodafone Queanbeyan,
HUTE8A-2625-001,Vodafone Brookvale,
HUTE8A-2750,Vodafone Penrith,
HUTE8A-2770-001,Vodafone Mt Druitt,
HUTE8A-2900-001,Vodafone Tuggeranong,
HUTE8A-2982-001,Vodafone Gungahlin,
HUTE8A-3000-001,Vodafone Melbourne Central,
HUTE8A-3000-002,Vodafone Bourke Street,
HUTE8A-3008,Vodafone Docklands,
HUTE8A-3011-001,Vodafone Footscray,
HUTE8A-3020-001,Vodafone Sunshine Marketplace,
HUTE8A-3029-001,Vodafone Tarneit Central,
HUTE8A-3029-002,Vodafone Wyndham Village,
HUTE8A-3038-001,Vodafone Keilor Downs,
HUTE8A-3045-001,Vodafone Melbourne Airport,
HUTE8A-3070-001,Vodafone Northcote Plaza,
HUTE8A-3072-001,Vodafone Preston,
HUTE8A-3076-001,Vodafone Epping,
HUTE8A-3082-001,Vodafone Plenty Valley,
HUTE8A-3088-001,Vodafone Greensborough,
HUTE8A-3108-001,Vodafone Doncaster,
HUTE8A-3128-001,Vodafone Box Hill,
HUTE8A-3143-001,Vodafone Ringwood,
HUTE8A-3148-001,Vodafone Chadstone,
HUTE8A-3178-001,Vodafone Rowville,
HUTE8A-3181-001,Vodafone South Yarra,
HUTE8A-3199-001,Vodafone Frankston,
HUTE8A-3214-001,Vodafone Corio,
HUTE8A-3337-001,Vodafone Melton,
HUTE8A-3355-001,Vodafone Wendouree,
HUTE8A-3805-001,Vodafone Narre Warren,
HUTE8A-4000-001,Vodafone Queen St (tattersalls),
HUTE8A-4000-002,Vodafone Adelaide St,
HUTE8A-4018-001,Vodafone Taigum,
HUTE8A-4032-001,Vodafone Chermside,
HUTE8A-4053-001,Vodafone Mitchelton,
HUTE8A-4053-002,Vodafone Stafford,
HUTE8A-4066-001,Vodafone Toowong,
HUTE8A-4068-001,Vodafone Indooroopilly,
HUTE8A-4077,Vodafone Inala,
HUTE8A-4078-001,Vodafone Forest Lake,
HUTE8A-4118-001,Vodafone Browns Plains,
HUTE8A-4122-001,Vodafone Upper Mt Gravatt,
HUTE8A-4129-001,Vodafone Loganholme,
HUTE8A-4215-001,Vodafone Southport,
HUTE8A-4218,Vodafone Mermaid Waters,
HUTE8A-4230,Vodafone Robina,
HUTE8A-4305-001,Vodafone Ipswich,
HUTE8A-4506-001,Vodafone Morayfield,
HUTE8A-5000-001,Vodafone Adelaide,
HUTE8A-5000-002,Vodafone Central Market,
HUTE8A-5015-001,Vodafone Port Adelaide,
HUTE8A-5067-001,Vodafone Norwood,
HUTE8A-5082-001,Vodafone Northpark,
HUTE8A-5098-001,Vodafone Ingle Farm,
HUTE8A-6000-001,Vodafone Murry Street,
HUTE8A-6003-001,Vodafone Northbridge,
HUTE8A-6030-001,Vodafone Clarkson,
HUTE8A-6056-001,Vodafone Midland,
HUTE8A-6062-001,Vodafone Morley,
HUTE8A-6101-001,Vodafone Victoria Park,
HUTE8A-6105-001,Vodafone Kippa Ring,
HUTE8A-6107-001,Vodafone Cannington,
HUTE8A-6148-001,Vodafone Riverton,
HUVA8,Huon Valley Council,
HWCHE,HWC Hydraulics & Equipment,
HYDR4,Hydrill Services,
HYME6,Hymech Pty Ltd,
HYSO6,Hydraulic Solutions and Sales,
HYTA7,Hydro Tasmania,
IARE2,Irons Auto Repairs & Engineering Pty Ltd,
IASA3,IAS Asia Pacific Pty Ltd,
IASE3,Ideas At Sea,
ICMG6,ICM GROUP,
IEDI2,Illawarra Electrical Distributors,
IENG2,I Engineering,
IESE5,Interstate Electrical Service Pty Ltd,
IESY6,I&E Systems Pty Ltd,
IIIN2,Illawarra Industrial Inst,
INAU2A,Indra Australia Pty Ltd A Saab-Accounts,
INCO2,Ingen Consulting,
INEC0,Intan Electric Company Sdn Bhd,
INEC3,Interworld Electronics & Computer Ind. Pty Ltd,
INGLIF,Ingenia Lifestyle,
ININ6,Integrated Industrial,
INPI4,Incitec Pivot Ltd,
INPL8,Inala Plaza Shopping Centre,
INSC8,Indigo Shire Council,
INSES4,INSESA,
INSY2B,Indrasync Ltd,
INSY2U,Indrasync Ltd,
INTE4U,Intellidesign,
INTENV,INTERNATIONAL ENVIRONMENTAL CONSULTANTS PTY LTD,
INVEN,Schneider Electric Systems,
INWE8,Inner West Council,
IOME2,Ionia Medical Pty Limited,
IPDA6,IP Dat,
IPMA2,Illawarra Plant Maintenance,No Discount
IPOW4,DO NOT USE - USE LIPS4,
IPPE8,Insulated Panel Perfection,
IRTE2,I.R.T. Communications Pty Ltd,
ISAS0,Integrated Switchgear & Systems,
ISAU3,ISUZU AUSTRALIA LIMITED,40% Discount - AF assigned this customer as KR
ISCO2,Inverell Shire Council,
ISPT3,ISPT Pty Ltd,
ITAL0,Italsound Lab Srl,
ITAU3,Iveco Trucks Australia Ltd (Vendor # 101968),
ITSO2,iTech Solutions Pty Ltd,
ITSO2U,iTech Solutions Pty Ltd,
ITSQ4,Transmax Pty Ltd,
ITTO3,IT Today (Aust) Pty Ltd,
InRoads,InRoads Group,
JAEN4,Jadmere Engineering,
JAMO3,Jakab Motors Cohuna,
JASO3,JAS Oceania Pty Ltd,35% Discount
JCTH5,JCB Healthcare Technology,
JESP2,Jenkins Spares,
JETL6,"Jetline Kerbing, Concrete & Retaining Walls",
JHCO2A,James Hardie Australia Pty Ltd,
JHTE2,JH Tester Industrial Automation Pty Ltd,
JLLS8,gladstone,
JMEL3,John Mitchell Electrical,
JMGA2,JMG Auto Electrical Pty Ltd,New Customer added 13/07/21- KR 10% trade discount
JMRE4,Johns Mechanical Repairs,
JNQLD,JN (QLD),
JNRG4,Jubilee Energy,
JOBFIND,JobFind Centres Australia,
JOCOA,Johnson Controls Australia Pty Limited,
JOGL2,JOY GLOBAL AUSTRALIA PTY LTD,
JPEC,JPEC Consulting,
JRDE4,JRD Engineering Service,
JSNE2,JSN Auto Electrical,
JUVA6,Just Valves Pty Ltd,
KACG4,Kac Generation Mechanical,15% Discount
KANE2,Kanes Hire Pty Ltd,
KAPO2,Karma Power,
KCIR4,Keith Crawley'S Industrial & Rural Supplies,
KCSC2,SCentre Shopping Centre Management (VIC) P/L,
KEEL2,Kenshaw Electrical,
KEHI6,Kennards Hire,
KEMA2,Kentan Machinery,
KESC8,Kempsey Shire Council,
KHSC3,Karingal Hub and Star Zone,
KIBS8,Kilias Building Services,
KIMC8,Kiama Municipal Council,
KMBS0,Konica Minolta Business Solutions,
KMCO8A,Kuring-Gai Municipal Council,
KMTM2,Kershaws Mts Machining,
KOFL2,Komatsu Forklifts Aust P/L,A/C #204006008
KONE4,Kone Elevators,
KONI0,Koniambo Nickel Sas,
KPAU2,Kelair Pumps Australia Pty Ltd,
KPSE2,Killmore Plant Services,10%
KPSG6,Pacific Energy Pty Ltd,15% discount
KRAU0,Kramer Ausenco(PNG) Ltd,
KSTD2,Kembla St Dental,
KSWO4,Mcconaghy Property Services Pty Ltd,
KTAU3,Kubota Australia Pty Ltd,Customer code:200 00 00079 - Disc 35%
KUEN2,Kuipers Engineering Pty Ltd,
KWIN8,City of Kwinana,
LAEM3,Laser Electrical Mildura,
LANINS,LAN Installations,
LAST4,Laserdyne Technologoes,
LATE2,Florence Pastoral Co,
LAWA2,Lawler Auto Electrics,
LCCO2A,Liverpool City Council,
LCCO8A,Liverpool City Council,
LDNG8,Lendlease Property Management (Australia) Pty Ltd,
LEME2,Leadmarker Marine Electrical,
LEWH2,Lecky's Electrical Wholesale,
LICC8,Lismore City Council,
LICE8,Lidcombe Property Holdings P/L,
LIDE2,Lismore Diesel,10% Discount
LIPL2,Archer & Beckett Ltd,
LIPS4,IME Solutions T/A I -Power Solutions,15%
LISC8,Livingstone Shire Council,
LITE2,Next Instruments,
LJSC8B,LEND LEASE PROP.MGT AUST P/L,
LKDS3,L K Diesel Service Pty Ltd,35% Discount
LLEN2,Lend Lease Engineering,
LLHG2,Lakeland Hire Group,
LMATM,LM & Associates Traffic Management Pty Ltd,
LMHU2,Leanne M Hubbard,
LSAE3,Lonsdale St Auto Electrics (Account Close Change ownersihip on 30/6/25),
LUME2,Lumen Resources,
LUMI3,Lucas Mill Pty Ltd,
MAAG2,Marshall AG Sales & Service,Tony Marshall - Owner
MACC4,Macca & Co Pty Ltd,
MACO3,Macquarrie Corporation P/L,35% discount
MACU4,Matts Custom,
MADR2,Mannion Drilling,
MAEL3,Maffra Auto Electrics,10% Discount
MAGE3,Macfarlane Generators P/L,30% discount
MAIN5,Mayfield Industries Pty Ltd,
MAPH2,Macs Plant Hire,
MAPT2U,Maptek Pty Ltd,
MARA8,Maranoa Regional Council,
MARC8,Mackay Regional Council,
MARIE3,Mariner Engineering,
MARO4,Dept Of Transport & Main Roads - Brisbane,
MARO81,Dept. of Transport & Main Roads- Barcaldine,
MARO82,Dept. of Transport & Main Roads - Corbould Park,
MARO83,Dept. of Transport & Main Roads - Cloncurry,
MARO85,Dept. of Transport & Main Roads-Emerald,
MARO86,Dept. of Transport & Main Roads-Manunda,
MARO87,Dept. of Transport & Main Roads-Maroochydore,
MARO88,Dept. of Transport & Main Roads-Brendale,
MARO89,Dept. of Transport & Main Roads-Roma,
MARO8W,Main Roads Western Australia,
MARO90,Dept. of Transport & Main Roads - Toowoomba,
MARO91,Dept. of Transport & Main Roads,
MARO92,Dept. of Transport & Main Roads,
MARO93,Department of Environment and Science,
MARO94,Departent of Infrastructure and Transport,
MARO96,Department of Transport & Main Roads Bundaberg,
MARO97,Roadtek Main Roads- Mackay,
MARO98,Department of Transport and Main Roads,
MARO99,Department Transport and Main Roads,
MASC8,Mareeba Shire Council,
MATA2,Marathon Targets Pty Ltd,
MATA2U,Marathon Targets Pty Ltd,
MATE4,Mandalay Technologies Pty Ltd,
MAUE7,Mainwaring Auto Electrics Pty Ltd,
MAUN2,Macquarie University,
MAXI2,Maxi Parts Pty Ltd,
MAYO7,Masters And Young Pty Ltd,
MAYO7U,Masters And Young Pty Ltd,
MBDC8,Mount Barker District Council,
MBRC8,Moreton Bay Regional Council,
MCAS2,Mckay Associates Pty Ltd,
MCAS2U,Mckay Associates Pty Ltd,
MCCO2,Maitland City Council,
MCCO3,McCall Communications,
MCDR6,McKay Drilling Pty Ltd,
MCKAY4,McKay Maritime,
MCME2,Mid City Mechanical,
MCON2,Modern Constructions,
MCPR6,C/O MCGEES PROPERTY,
MDHPL4,MDH Pty Ltd,
MDIN2,Magic Door Industries P/L,
MDRE3,Melbourne Diesel Repairs,
MECI2,Menai Civil,
MECO3B,Mekolec And Company,
MEEL0,Metropolis Electronics Asia-Pacific,
MESH3,MeshBI Pty Ltd,Cash Customer ONLY
MESY2,Meta Systems Pty Ltd,
MET,Metro Trains Melbourne P/L,
METC2,MetCentre,
METPRO,Mettle QLD Pty Ltd,
MGHI3,Murphy Grader Hire,
MIAI2,Micron Air Australia Pty Ltd,
MICC8,Mount Isa City Council,
MIDD3,Middendorp Electric Co Pty Ltd,
MINNOV,Minnovation Australia,
MIRE2,Veridapt Pty Ltd,Name changed 19/10/2020
MIRE8,Mirvac Real Estate Pty Ltd,
MISE4,GSE Services,
MISY2U,Midspar Systems Pty Ltd,
MITE4,Mitech Air & Allied Services,
MKEL2,M K Electronics,
MLCC8,The Trustee For Dexus & The Trusee For General Property Trust-MLC Centre  Martin Place Trust,
MMBE2,Macarthur Mercedes Benz,
MMCASH,Cash Account,
MMCASHU,Cash Account - USD,
MMEM2,MM Electrical Merchandising,
MMEM2S,Haymans Electrical,
MMUC8,Mid Murray Council,
MOAL8,Mount Alexander Shire Council,
MOBM2,Monitor Business Machines Pty Ltd,
MOEC3,Molec Electrical Contractor Pl,
MOGR8,Lolita No.1 Pty Ltd & Lolita No.2 Pty Ltd,
MOMU2,Mosman Municipal Council,
MOUN8,Monash University,
MOVI5,Monview,
MPCC2,NMCT Macquarie Park Cemetary & Crematorium,
MPCO5,Mundallio Pastoral Company P/L,
MPES3,MPE Services,
MPSC8,Mornington Peninsula Shire Council,
MRCC8,Mildura Rural City Council,
MRCG4,MRC Global Australia Pty Ltd,
MRUS4,Metals R Us,
MRXT6,Siemens Mobility,
MRXT6U,Siemens Mobility Pty Ltd,
MSCO2,Clarence Valley Council,
MSCO2D,Murray River Council,
MSCO2E,Upper Hunter Shire Council,
MSCO2F,Muswellbrook Shire Council,
MSSC8,Davinski Nominees Pty Ltd,
MSTE5,My Sky Technologies Pty Ltd,
MSYS2,Mission Systems Pty Ltd,
MTSO6,Moncrieff Technology Solutions,
MUCO8,Murrumbidgee Council,
MUEL8,Troyberg Pty Ltd t/a Electrotech Systems,
MUHE8,Muhel Consulting,
MULP2,Mulpha Australia Limited,
MULT6,Multispares Limited,
MUSC4,Murweh Shire Council,
MUWD2,Mundubbera Water Drilling,
MVRT4,Mary Valley Rail Trail Assoc.Inc,
MYEL3,Myers Electrical,
NAAU0,Navico Auckland Ltd,
NABL0,Northern Australian Beef Ltd,
NAPE2,National Pump & Energy,
NASC2,Narromine Shire Council,
NATS8,National Traffic Surveys,
NAUBG,National Australian Botanic Gardens,
NB3EL,NB3 Electrical Pty Ltd,
NBIN4,Nepean,
NBRC8,North Burnett Regional Council,
NCMA4,North Coast Machinery,
NCSI8,NCSI (Australia) Pty Ltd,
NECO8,Neo Construct Pty Ltd,
NEGO2,New Govardhana,
NEPR3,Neoproducts Pty Ltd,
NESPL,Network Electrical Solutions Pty Ltd,
NEVM2,Nevmat Australia Pty Ltd,
NEXO2,Nexo Engineering,
NGSC3,Northern Grampions Shire Council,
NMBCI,Narooma Mountain Bike Club Incorporated,
NOBEH8,Northern Beaches Hospital,
NOCE4,Northlane Consulting Engineers,
NOCI8,Stockwell NC Pty Ltd ATF Noosa Civic Property Trust,
NOJELE,Nojdhs Elektronik AB,
NORO4,Norosco,
NOVC8,Nouchy Mining Services,
NPWS2J,National Parks & Wildlife Service,
NPWS2P,OFFICE OF ENVIR. & HERITAGE,
NPWS800,NSW National Parks & Wildlife,
NPWS801,Office of Environ. & Heritage - Armidale,
NPWS802,Office of Environ. & Heritage - Bathurst,
NPWS803,Office of Environ. & Heritage - Bingara,
NPWS804,Office of Environ. & Heritage - Blackburn,
NPWS805,Office of Environ. & Heritage - Bombala,
NPWS806,Office of Environ. & Heritage - Dorrigo,
NPWS807,Office of Environ. & Heritage - Eden,
NPWS808,Office of Environ. & Heritage - Fitzroy,
NPWS809,Office of Environ. & Heritage - forbes,
NPWS811,Office of Environ. & Heritage - Grafton,
NPWS812,Office of Environ. & Heritage - Hay,
NPWS813,Office of Environ. & Heritage - Hill End,
NPWS814,Office of Environ. & Heritage - Merimbula,
NPWS815,Office of Environ. & Heritage - Middlehead,
NPWS816,Office of Environ. & Heritage - Moama,
NPWS817,Office of Environ. & Heritage - Mt Tomah,
NPWS818,Office of Environ. & Heritage - Mudgee,
NPWS819,Office of Environ. & Heritage - Narrabri,
NPWS820,Office of Environ. & Heritage - Pacific Palms,
NPWS821,Office of Environ. & Heritage - Tenterfield,
NPWS822,Office of Environ. & Heritage - Walcha,
NPWS823,Office of Environment & Heritage,
NPWS824,NSW Parks & Wildlife,
NPWS825,Department of Environment Glen Innes,
NPWS826,National Parks & Wildlife Service,
NPWS827,National Parks & Wildlife Service SA,
NPWS828,Parks & Wildlife - Booderee National park,
NPWS8A,National Parks and Wildlife - Bobbin Head,
NPWS8E,NPSW GLEN INNES,
NQAS4,North Queensland Agricultural,30% discount
NQIE4,NQ Industrial Electrics,10% Trade discount
NRGG7,NRG Gladstone Operating Services Pty Ltd,
NSAG3U,National Safety Agency,
NSCO2A,Noosa Council,
NSCO8A,Narrabri Shire Council,
NSLC8,North Sydney Leagues Club,
NSWPF2,NSW Police Force,
NTPL8,SCA Property Group - New Town Plaza,
NZWR0,NZ Welder Repair Services Ltd,
OCESU,Oceanic Supply Pty Ltd (PIA),
OCWEN4008,Ocwen Energy Pty Ltd Lowes Petroleum,
OEGR,Outdoor Education Group,
OEMD2,OEM Dynanics,
OFWO8,Officeworks Superstore Pty Ltd,Customer no: 2933281
OMDI2,Offshore Marine Diesel,15% reseller discount
OMEA2,Omearse Pty Ltd,
OMEDIA3,oOh!media Operations Pty Limited,
OMF8,Original Mattress Factory P/L,
ONST2,Infrabuild,"Customer no: 2002240    Sales Team please pay extra attention on this, if you ever receive any PO  t"
ONYXU,Onyx Healthcare INC.,
OPM08-2035-001,optus,
OPM08-2067-001,Optus Chatswood Chase,
OPM08-2113-001,Optus Macquarie Park Campus,
OPM08-2154-001,Optus Castle Towers,
OPM08-3152-001,Optus Wantirna (Knox),
OPM08-4304-001,Optus Booval Fair,
OPMO8,Optus Mobile Pty Ltd,
OPMO8-0810-001,Optus Casuarina NT,
OPMO8-2000-001,Optus on George,
OPMO8-2017,Optus Zetland,
OPMO8-2028-001,Optus Double Bay,
OPMO8-2113-001,Optus Macquarie Centre,
OPMO8-2135-001,Optus Strathfield,
OPMO8-2220-001,Optus Hurstville,
OPMO8-2250-001,Optus Erina Fair,
OPMO8-2300-001,Optus Newcastle,
OPMO8-2444-001,Optus Port Macquarie,
OPMO8-2640-001,Optus Albury,
OPMO8-2761-001,Optus Plumpton,
OPMO8-3030-001,Optus Point Cook,
OPMO8-3173-001,Optus Parkmore,
OPMO8-3199-001,Optus Frankston,
OPMO8-3337-001,Optus Melton,
OPMO8-3355-001,Optus Wendouree,
OPMO8-3400-001,Optus Horsham,
OPMO8-4000-001,Optus Queen st Mall,
OPMO8-4032-001,Optus Chermside,
OPMO8-4078-001,Optus Forest Lake,
OPMO8-4129-001,Optus Hyperdome,
OPMO8-4152-001,Optus Carindale,
OPMO8-4178-001,Optus Wynnum,
OPMO8-4215-001,Optus Australia Fair,
OPMO8-4216-001,Optus Runaway Bay,
OPMO8-4230-001,Optus Robina,
OPMO8-4701-001,Optus Rockhampton,
OPMO8-4812-001,Optus Castletown,
OPMO8-4817-001,Optus The Willows,
OPMO8-6109-001,Optus Maddington,
OPMO8-6154-001,Optus Booragoon,
OPMO8-7250-001,Optus Launceston,
OPNC0,OFFICE PLUS,
OPSC3,Optiscan Pty Ltd (DO NOT USE),
OPSC3U,Optiscan Pty Ltd,
ORAN8,Orange City Council,
ORAU2A,Orica Australia Pty Ltd,
OREN1,Origin Energy,
ORSES3,Ortech Security Services,
OTTO3,Otto Construstion Group P/L,
OTWS2,On The Water Sydney,
OUSP4,Outback Spares,10% Trade
OUTSYS,Outdoor Systems Pty Ltd,
OZMI6,Oz Minerals,
PAAG4,Pacific Agencies,
PACE4,FPS ATF The Surfers Paradise Trust,
PACG0,Paragon Care Group,
PACO4,Pacific Controls Pty Ltd,
PACO8A,Queanbeyan-Palerang Regional,
PAHSMA7,Port Arthur Historic Site Managemetn Authoity,
PAIN2,Paveline International Pty Ltd,
PASM4,Pasma Electrical,
PASY2,Partech Systems Pty Ltd,
PAUN2,Port Authority Of NSW,
PAVI8,Parks Victoria,
PBTEC0,PB Technologies LTD,
PCCO8,City Of Parramatta,
PCCO8-001,City Of Parramatta Library,
PCCO8-002,Epping Branch Library,
PCCO8-003,Carlingford Library,
PCCO8-004,Ermington Branch Library,
PCCO8-005,Dundas Valley Branch Library,
PCCO8-006,Constitution Hill Branch Library,
PCHE5,Plastico & Hackett Engineering,
PCSC2,PORT CENTRAL SHOPPING CENTRE,
PCSO2,Sydney International Regatta Centre,
PEAAR8,Peak Are Pty Ltd,
PEAU0,Pacific Ears New Zealand Pty Ltd,
PEAU2,Penske Australia,
PEBR0U,Peacock Bros NZ Ltd,
PEBR3,Peacock Bros,
PEBR3U,Peacock Bros,
PECM0,Pettoros Corporation Malaysia,
PENT4,Pentagon Systems,
PERE4,Pembroke Oliver Downs Complex,
PFEN3,Phill Fehring Engineering,
PFWE2,P.F.W. Electrical Pty Ltd,
PGAU2,Powergen Australia,10% Trade
PHEM0,Phillips Earthmoving Contractors Pty Ltd,
PHNZ0,Sonova New Zealand (Wholesale),
PHPU6,Phoenix Pumps Pty Ltd,
PIPA4,Pipar Automation,
PIRT2,Pirtek,
PIXGRO,Pixelcase Group Pty Ltd,
PLAINF,Platinum Infrastructure Pty Ltd,
PLCO8,Pymble Ladies College,
PLIN6,Plummers Industries Pty Ltd (Tee Plummer Family Trust),
PLUSFA,Plush-Think Sofas Pty Ltd,
